customer_id,signup_date,home_region,customer_segment,acquisition_channel
C-00534,2023-05-15,West,Returning,Organic Search
C-00535,2024-12-18,East,Returning,Marketplace
C-00536,2023-11-27,East,Returning,Social
C-00537,2024-01-25,Central,Returning,Paid Search
C-00538,2022-12-08,North,New,Social
C-00539,2025-07-14,West,VIP,Social
C-00540,2025-01-27,East,VIP,Social
C-00541,2024-12-25,West,Returning,Paid Search
C-00542,2024-11-12,East,Returning,Organic Search
C-00543,2025-06-25,South,Returning,Organic Search
C-00544,2024-08-08,East,New,Organic Search
C-00545,2023-09-01,East,New,Email
C-00546,2025-03-11,North,New,Organic Search
C-00547,2026-01-16,East,Returning,Social
C-00548,2024-09-28,West,New,Direct
C-00549,2025-08-07,West,Returning,Paid Search
C-00550,2023-08-20,East,Returning,Direct
C-00551,2025-11-21,Central,VIP,Email
C-00552,2023-04-08,West,VIP,Social
C-00553,2025-02-28,West,New,Organic Search
C-00554,2023-09-12,East,New,Paid Search
C-00555,2026-04-25,Central,Returning,Direct
C-00556,2025-08-02,East,New,Paid Search
C-00557,2022-12-11,South,Returning,Direct
C-00558,2022-12-12,West,Returning,Paid Search
C-00559,2023-11-09,North,New,Organic Search
C-00560,2023-12-05,South,Returning,Paid Search
C-00561,2025-01-27,Central,New,Paid Search
C-00562,2024-03-19,North,VIP,Social
C-00563,2023-04-21,Central,Returning,Social
C-00564,2023-05-17,South,New,Email
C-00565,2022-11-26,North,Returning,Marketplace
C-00566,2024-09-15,Central,Returning,Organic Search
C-00567,2025-10-23,North,VIP,Marketplace
C-00568,2026-01-10,North,Returning,Organic Search
C-00569,2024-06-03,East,VIP,Organic Search
C-00570,2024-08-12,North,New,Organic Search
C-00571,2025-01-30,South,VIP,Email
C-00572,2026-01-10,South,Returning,Marketplace
C-00573,2024-09-16,West,New,Marketplace
C-00574,2023-04-16,Central,Returning,Organic Search
C-00575,2025-04-20,North,New,Email
C-00576,2026-04-17,South,VIP,Social
C-00577,2023-01-06,West,Returning,Paid Search
C-00578,2024-02-17,Central,New,Paid Search
C-00579,2026-02-18,North,Returning,Email
C-00580,2024-03-25,North,Returning,Organic Search
C-00581,2023-09-18,South,Returning,Organic Search
C-00582,2022-11-17,East,VIP,Social
C-00583,2023-06-04,North,New,Paid Search
C-00584,2025-12-17,North,Returning,Organic Search
C-00585,2025-12-16,East,New,Paid Search
C-00586,2025-01-03,South,New,Social
C-00587,2025-12-26,Central,VIP,Email
C-00588,2023-10-20,North,Returning,Organic Search
C-00589,2024-05-09,North,Returning,Paid Search
C-00590,2025-03-18,West,New,Paid Search
C-00591,2024-03-26,East,Returning,Email
C-00592,2025-06-01,South,New,Direct
C-00593,2024-09-17,South,Returning,Marketplace
C-00594,2025-04-26,West,New,Marketplace
C-00595,2026-03-08,South,New,Direct
C-00596,2023-12-23,North,Returning,Paid Search
C-00597,2024-08-21,West,New,Email
C-00598,2026-01-29,South,Returning,Paid Search
C-00599,2025-01-19,Central,New,Organic Search
C-00600,2025-11-28,West,New,Organic Search
C-00601,2025-06-09,North,VIP,Marketplace
C-00602,2023-03-28,West,Returning,Paid Search
C-00603,2025-08-25,South,New,Organic Search
C-00604,2023-09-18,West,Returning,Organic Search
C-00605,2026-03-15,South,Returning,Email
C-00606,2025-03-12,West,Returning,Paid Search
C-00607,2025-11-10,Central,Returning,Organic Search
C-00608,2024-03-29,South,Returning,Social
C-00609,2023-02-05,West,Returning,Social
C-00610,2024-09-16,East,VIP,Organic Search
C-00611,2024-04-19,West,New,Email
C-00612,2026-01-28,South,New,Email
C-00613,2026-02-24,North,Returning,Direct
C-00614,2025-07-22,South,New,Direct
C-00615,2023-07-02,West,Returning,Paid Search
C-00616,2024-10-09,North,Returning,Email
C-00617,2025-07-09,West,New,Paid Search
C-00618,2023-03-24,West,New,Organic Search
C-00619,2024-10-09,West,Returning,Organic Search
C-00620,2024-03-20,East,Returning,Paid Search
C-00621,2025-03-29,North,VIP,Paid Search
C-00622,2023-11-19,West,New,Paid Search
C-00623,2026-04-17,East,VIP,Paid Search
C-00624,2022-11-16,North,Returning,Social
C-00625,2023-03-15,West,Returning,Email
C-00626,2024-11-25,East,New,Organic Search
C-00627,2025-08-05,West,Returning,Email
