date,channel,spend,impressions,clicks
2024-01-19,Email,260.85,12924,1031
2024-01-19,Social,887.03,42301,947
2024-01-19,Marketplace,674.09,26413,1149
2024-01-19,Direct,170.13,7410,372
2024-01-20,Organic Search,297.77,16022,558
2024-01-20,Paid Search,1432.90,59390,2007
2024-01-20,Email,302.43,11617,689
2024-01-20,Social,890.89,45485,1299
2024-01-20,Marketplace,688.90,48662,1921
2024-01-20,Direct,61.83,2986,173
2024-01-21,Organic Search,330.11,19319,994
2024-01-21,Paid Search,1391.91,70536,1915
2024-01-21,Email,210.09,11804,853
2024-01-21,Social,865.16,61724,1787
2024-01-21,Marketplace,696.73,42459,1575
2024-01-21,Direct,148.99,10394,588
2024-01-22,Organic Search,308.99,20281,854
2024-01-22,Paid Search,1371.58,54383,1465
2024-01-22,Email,246.11,13448,1011
2024-01-22,Social,855.67,52484,1556
2024-01-22,Marketplace,740.88,35613,1500
2024-01-22,Direct,149.02,6568,295
2024-01-23,Organic Search,329.54,16159,723
2024-01-23,Paid Search,1341.28,67260,1831
2024-01-23,Email,378.12,17565,1303
2024-01-23,Social,938.03,58824,1510
2024-01-23,Marketplace,710.76,33647,1157
2024-01-23,Direct,193.25,8947,450
2024-01-24,Organic Search,374.46,23557,826
2024-01-24,Paid Search,1334.26,54174,1646
2024-01-24,Email,233.88,16655,1239
2024-01-24,Social,862.09,43953,891
2024-01-24,Marketplace,762.27,53003,2002
2024-01-24,Direct,125.56,4866,221
2024-01-25,Organic Search,369.01,22213,949
2024-01-25,Paid Search,1449.58,76445,2006
2024-01-25,Email,329.29,15435,1153
2024-01-25,Social,906.29,60761,1725
2024-01-25,Marketplace,748.69,37976,1753
2024-01-25,Direct,51.00,2695,144
2024-01-26,Organic Search,335.07,15886,553
2024-01-26,Paid Search,1359.46,93709,2486
2024-01-26,Email,236.80,12276,796
2024-01-26,Social,971.90,41220,1045
2024-01-26,Marketplace,740.34,52697,2325
2024-01-26,Direct,113.01,4363,244
2024-01-27,Organic Search,329.82,15761,720
2024-01-27,Paid Search,1371.04,79505,1926
2024-01-27,Email,226.29,11592,756
2024-01-27,Social,933.78,46296,1147
2024-01-27,Marketplace,720.40,38689,1627
2024-01-27,Direct,125.01,7715,368
2024-01-28,Organic Search,321.70,12577,508
2024-01-28,Paid Search,1464.06,87063,2019
2024-01-28,Email,214.96,9685,659
2024-01-28,Social,971.92,46576,1151
2024-01-28,Marketplace,722.56,28183,1247
2024-01-28,Direct,107.44,5366,264
2024-01-29,Organic Search,202.98,7874,403
2024-01-29,Paid Search,1452.36,79423,2399
2024-01-29,Email,263.50,11193,1008
2024-01-29,Social,862.02,35599,760
2024-01-29,Marketplace,778.47,44688,2319
2024-01-29,Direct,138.38,8916,493
2024-01-30,Organic Search,334.51,17357,671
2024-01-30,Paid Search,1398.54,81639,2214
2024-01-30,Email,292.08,12148,951
2024-01-30,Social,1017.72,65031,1297
2024-01-30,Marketplace,729.02,37423,1614
2024-01-30,Direct,160.39,8624,399
2024-01-31,Organic Search,362.15,25138,977
2024-01-31,Paid Search,1416.83,79499,2683
2024-01-31,Email,229.31,10057,796
2024-01-31,Social,970.63,58437,1366
2024-01-31,Marketplace,798.96,47648,1774
2024-01-31,Direct,109.28,6456,320
2024-02-01,Organic Search,400.97,25218,1108
2024-02-01,Paid Search,1440.44,66977,2002
2024-02-01,Email,265.07,10892,729
2024-02-01,Social,884.36,60171,1720
2024-02-01,Marketplace,722.25,48648,1616
2024-02-01,Direct,143.27,7241,354
2024-02-02,Organic Search,360.35,25175,1049
2024-02-02,Paid Search,1440.15,69071,2033
2024-02-02,Email,279.64,15010,1012
2024-02-02,Social,938.68,67256,1955
2024-02-02,Marketplace,790.80,43499,1143
2024-02-02,Direct,174.65,8603,494
2024-02-03,Organic Search,364.44,19576,832
2024-02-03,Paid Search,1412.60,55231,1706
2024-02-03,Email,215.81,15505,862
2024-02-03,Social,949.44,49542,1195
2024-02-03,Marketplace,752.54,31692,1433
2024-02-03,Direct,138.75,7792,335
2024-02-04,Organic Search,392.70,24616,1105
2024-02-04,Paid Search,1397.61,92184,3190
2024-02-04,Email,261.34,16298,1026
2024-02-04,Social,874.81,45990,1135
2024-02-04,Marketplace,776.24,36424,1449
2024-02-04,Direct,162.45,6790,289
2024-02-05,Organic Search,364.93,18083,881
2024-02-05,Paid Search,1480.44,66831,1841
2024-02-05,Email,309.58,12543,978
2024-02-05,Social,983.48,45555,1044
2024-02-05,Marketplace,757.09,40215,1681
2024-02-05,Direct,144.60,8288,352
2024-02-06,Organic Search,279.67,12034,469
2024-02-06,Paid Search,1406.54,71183,2388
2024-02-06,Email,289.40,20293,1549
2024-02-06,Social,977.52,52942,1512
2024-02-06,Marketplace,725.68,45925,1809
2024-02-06,Direct,119.99,5752,280
2024-02-07,Organic Search,295.52,11511,564
2024-02-07,Paid Search,1425.45,82482,2810
2024-02-07,Email,253.26,16042,1357
2024-02-07,Social,990.12,58444,1456
2024-02-07,Marketplace,781.63,33844,1410
2024-02-07,Direct,152.25,7723,368
2024-02-08,Organic Search,378.27,16549,652
2024-02-08,Paid Search,1390.88,95278,2918
2024-02-08,Email,423.26,21010,1530
2024-02-08,Social,933.97,44328,1196
2024-02-08,Marketplace,776.87,46690,1404
2024-02-08,Direct,97.99,6764,388
2024-02-09,Organic Search,416.03,27772,1066
2024-02-09,Paid Search,1431.91,65531,1740
2024-02-09,Email,277.83,14321,1189
2024-02-09,Social,979.79,39470,1048
2024-02-09,Marketplace,711.53,44970,1625
2024-02-09,Direct,212.31,8471,339
2024-02-10,Organic Search,313.86,14659,621
2024-02-10,Paid Search,1418.12,85267,2159
2024-02-10,Email,260.79,13954,1172
2024-02-10,Social,1008.18,57231,1489
2024-02-10,Marketplace,789.76,52316,2072
2024-02-10,Direct,218.89,12206,698
2024-02-11,Organic Search,375.40,21740,987
2024-02-11,Paid Search,1380.88,77682,2250
2024-02-11,Email,266.78,15887,1011
2024-02-11,Social,957.22,39088,1032
2024-02-11,Marketplace,784.60,35550,1542
2024-02-11,Direct,71.30,4119,216
2024-02-12,Organic Search,359.95,24527,1030
2024-02-12,Paid Search,1431.85,93637,2676
2024-02-12,Email,222.03,8440,546
2024-02-12,Social,952.93,52171,1092
2024-02-12,Marketplace,791.28,43902,1881
2024-02-12,Direct,165.93,11198,564
2024-02-13,Organic Search,346.59,19784,954
2024-02-13,Paid Search,1411.27,100518,3491
2024-02-13,Email,365.96,17878,1210
2024-02-13,Social,1002.60,43659,1067
2024-02-13,Marketplace,812.36,39284,1569
2024-02-13,Direct,173.32,10345,506
2024-02-14,Organic Search,319.10,20575,888
2024-02-14,Paid Search,1433.25,78915,2243
2024-02-14,Email,236.57,9817,790
2024-02-14,Social,934.73,53666,1551
2024-02-14,Marketplace,784.37,50244,2019
2024-02-14,Direct,149.71,8794,352
2024-02-15,Organic Search,409.44,29217,1608
2024-02-15,Paid Search,1387.44,89506,2292
2024-02-15,Email,305.09,16489,1494
2024-02-15,Social,978.81,42019,966
2024-02-15,Marketplace,749.48,47470,1978
2024-02-15,Direct,85.22,4378,236
2024-02-16,Organic Search,281.61,14570,705
2024-02-16,Paid Search,1475.79,96491,2925
2024-02-16,Email,336.70,13017,894
2024-02-16,Social,947.67,59102,1361
2024-02-16,Marketplace,759.53,37173,1570
2024-02-16,Direct,140.57,8018,373
2024-02-17,Organic Search,358.00,19725,936
2024-02-17,Paid Search,1449.69,67072,1986
2024-02-17,Email,237.68,14860,1183
2024-02-17,Social,839.94,33231,880
2024-02-17,Marketplace,735.62,50685,1628
2024-02-17,Direct,94.22,5523,289
2024-02-18,Organic Search,333.95,19952,912
2024-02-18,Paid Search,1431.22,99330,3429
2024-02-18,Email,280.02,17779,1314
2024-02-18,Social,923.74,48097,1424
2024-02-18,Marketplace,788.48,37974,1523
2024-02-18,Direct,136.72,6335,345
2024-02-19,Organic Search,280.60,13150,526
2024-02-19,Paid Search,1403.41,54372,1653
2024-02-19,Email,264.17,17096,1159
2024-02-19,Social,950.66,63709,1431
2024-02-19,Marketplace,815.03,55484,1954
2024-02-19,Direct,151.25,8117,474
2024-02-20,Organic Search,315.79,19559,995
2024-02-20,Paid Search,1439.30,55825,2075
2024-02-20,Email,353.72,18207,1401
2024-02-20,Social,947.14,53007,1329
2024-02-20,Marketplace,821.58,31672,1113
2024-02-20,Direct,120.46,6642,349
2024-02-21,Organic Search,373.70,20452,717
2024-02-21,Paid Search,1386.63,87316,2498
2024-02-21,Email,150.84,9735,601
2024-02-21,Social,883.40,58988,1411
2024-02-21,Marketplace,863.15,50702,2200
2024-02-21,Direct,206.29,13219,681
2024-02-22,Organic Search,317.48,16935,775
2024-02-22,Paid Search,1499.16,90122,2419
2024-02-22,Email,378.87,18774,1435
2024-02-22,Social,895.41,58996,1427
2024-02-22,Marketplace,768.81,44238,1698
2024-02-22,Direct,215.78,8338,437
2024-02-23,Organic Search,358.12,16760,829
2024-02-23,Paid Search,1458.30,71610,2613
2024-02-23,Email,198.81,12759,948
2024-02-23,Social,926.99,62971,1494
2024-02-23,Marketplace,795.64,51145,1844
2024-02-23,Direct,139.29,5417,302
2024-02-24,Organic Search,281.51,18157,688
2024-02-24,Paid Search,1340.08,65843,1889
2024-02-24,Email,250.37,11291,865
2024-02-24,Social,950.22,44866,1255
2024-02-24,Marketplace,808.12,40471,1487
2024-02-24,Direct,194.33,10289,639
2024-02-25,Organic Search,373.54,19833,784
2024-02-25,Paid Search,1447.25,73714,1835
2024-02-25,Email,220.74,9931,733
2024-02-25,Social,906.32,37301,1072
2024-02-25,Marketplace,825.08,51677,2428
2024-02-25,Direct,186.41,7846,464
2024-02-26,Organic Search,290.72,18457,821
2024-02-26,Paid Search,1439.65,102927,3418
2024-02-26,Email,277.01,12930,819
2024-02-26,Social,1005.65,38462,1044
2024-02-26,Marketplace,795.77,53439,1797
2024-02-26,Direct,65.55,4355,278
2024-02-27,Organic Search,272.31,13132,631
2024-02-27,Paid Search,1472.00,88145,2732
2024-02-27,Email,283.24,19924,1537
2024-02-27,Social,958.68,46966,1375
2024-02-27,Marketplace,803.17,45938,1868
2024-02-27,Direct,150.27,9261,505
2024-02-28,Organic Search,353.85,23099,973
2024-02-28,Paid Search,1498.74,75893,2043
2024-02-28,Email,241.80,10605,779
2024-02-28,Social,1077.15,68104,1496
2024-02-28,Marketplace,792.91,53829,1901
2024-02-28,Direct,152.94,8398,456
2024-02-29,Organic Search,331.21,22821,1162
2024-02-29,Paid Search,1452.20,93857,3215
2024-02-29,Email,276.70,10836,937
2024-02-29,Social,1039.73,41153,832
2024-02-29,Marketplace,739.60,41311,1747
2024-02-29,Direct,136.62,9359,495
2024-03-01,Organic Search,465.54,19469,1024
2024-03-01,Paid Search,1330.04,89257,2911
2024-03-01,Email,241.44,14126,988
2024-03-01,Social,946.20,51059,1176
2024-03-01,Marketplace,803.19,48446,1774
2024-03-01,Direct,91.28,5691,332
2024-03-02,Organic Search,279.56,18721,846
2024-03-02,Paid Search,1469.17,62312,2085
2024-03-02,Email,295.30,12046,829
2024-03-02,Social,1010.35,68860,1839
2024-03-02,Marketplace,810.03,35866,1434
2024-03-02,Direct,110.95,7890,373
2024-03-03,Organic Search,327.18,18853,724
2024-03-03,Paid Search,1516.55,64420,1726
2024-03-03,Email,207.03,11945,918
2024-03-03,Social,984.21,67718,1671
2024-03-03,Marketplace,774.70,34651,1349
2024-03-03,Direct,143.06,5602,308
2024-03-04,Organic Search,361.66,17709,725
2024-03-04,Paid Search,1414.70,70300,2047
2024-03-04,Email,208.42,12010,716
2024-03-04,Social,944.27,55829,1430
2024-03-04,Marketplace,764.37,36304,1355
2024-03-04,Direct,144.69,7157,271
2024-03-05,Organic Search,381.50,24964,1035
2024-03-05,Paid Search,1405.85,85124,2670
2024-03-05,Email,304.10,16922,1086
2024-03-05,Social,1014.55,60708,1584
2024-03-05,Marketplace,809.43,37008,1387
2024-03-05,Direct,111.88,6345,335
2024-03-06,Organic Search,328.90,15931,864
2024-03-06,Paid Search,1344.19,54871,1930
2024-03-06,Email,301.88,15552,987
2024-03-06,Social,1127.45,50313,1060
2024-03-06,Marketplace,804.33,31021,1094
2024-03-06,Direct,128.68,7519,347
2024-03-07,Organic Search,406.73,22716,1193
2024-03-07,Paid Search,1478.01,67743,1872
2024-03-07,Email,377.25,19138,1293
2024-03-07,Social,998.39,59470,1549
2024-03-07,Marketplace,724.03,46003,1475
2024-03-07,Direct,195.19,11463,735
2024-03-08,Organic Search,378.22,26705,1086
2024-03-08,Paid Search,1501.64,103061,3093
2024-03-08,Email,360.33,19426,1317
2024-03-08,Social,1046.87,39793,1207
2024-03-08,Marketplace,787.96,38290,1677
2024-03-08,Direct,188.17,13287,637
2024-03-09,Organic Search,398.70,17099,786
2024-03-09,Paid Search,1500.52,98190,2485
2024-03-09,Email,298.66,19333,1335
2024-03-09,Social,950.69,42376,958
2024-03-09,Marketplace,797.70,56440,2059
2024-03-09,Direct,117.76,4969,323
2024-03-10,Organic Search,348.82,15056,471
2024-03-10,Paid Search,1404.87,89714,2954
2024-03-10,Email,289.31,14054,1001
2024-03-10,Social,1029.20,55595,1530
2024-03-10,Marketplace,769.31,32499,1129
2024-03-10,Direct,131.24,5301,239
2024-03-11,Organic Search,454.09,22525,956
2024-03-11,Paid Search,1450.31,73923,3101
2024-03-11,Email,284.12,15303,1046
2024-03-11,Social,900.03,55359,1211
2024-03-11,Marketplace,810.96,37010,1132
2024-03-11,Direct,258.22,15109,983
2024-03-12,Organic Search,321.60,21726,892
2024-03-12,Paid Search,1426.09,100896,2512
2024-03-12,Email,269.47,18166,1394
2024-03-12,Social,966.20,45778,1360
2024-03-12,Marketplace,789.98,41290,1793
2024-03-12,Direct,199.94,8162,299
2024-03-13,Organic Search,422.10,19523,969
2024-03-13,Paid Search,1410.45,85517,2664
2024-03-13,Email,329.66,20468,1637
2024-03-13,Social,900.79,45740,1046
2024-03-13,Marketplace,689.25,35157,1292
2024-03-13,Direct,85.43,5551,261
2024-03-14,Organic Search,413.19,17351,729
2024-03-14,Paid Search,1475.17,89792,2468
2024-03-14,Email,365.15,18763,1237
2024-03-14,Social,979.47,63466,1410
2024-03-14,Marketplace,826.64,46104,1532
2024-03-14,Direct,210.44,12490,597
2024-03-15,Organic Search,368.46,14322,519
2024-03-15,Paid Search,1463.12,102655,3147
2024-03-15,Email,350.08,22847,1877
2024-03-15,Social,969.98,45219,868
2024-03-15,Marketplace,809.08,57526,1966
2024-03-15,Direct,134.24,5319,312
2024-03-16,Organic Search,223.73,10503,506
2024-03-16,Paid Search,1481.29,95109,2714
2024-03-16,Email,229.88,11872,816
2024-03-16,Social,933.95,62313,1837
2024-03-16,Marketplace,817.45,48194,1676
2024-03-16,Direct,128.45,5875,235
2024-03-17,Organic Search,367.11,22961,960
2024-03-17,Paid Search,1448.67,79538,2268
2024-03-17,Email,285.18,13403,1054
2024-03-17,Social,971.36,63527,1417
2024-03-17,Marketplace,852.47,60198,2007
2024-03-17,Direct,124.31,7182,393
2024-03-18,Organic Search,416.10,23741,939
2024-03-18,Paid Search,1476.64,76092,2007
2024-03-18,Email,258.02,10598,695
2024-03-18,Social,907.64,46977,1007
2024-03-18,Marketplace,786.99,44162,1996
2024-03-18,Direct,53.18,2208,133
2024-03-19,Organic Search,437.03,29793,1232
2024-03-19,Paid Search,1458.93,59517,2121
2024-03-19,Email,375.80,14801,1050
2024-03-19,Social,919.47,43499,1029
2024-03-19,Marketplace,708.17,50585,1937
2024-03-19,Direct,135.02,8104,457
2024-03-20,Organic Search,359.18,16624,745
2024-03-20,Paid Search,1536.82,102182,3235
2024-03-20,Email,219.31,12569,961
2024-03-20,Social,909.19,52506,1472
2024-03-20,Marketplace,727.88,51890,1616
2024-03-20,Direct,132.71,9473,400
2024-03-21,Organic Search,369.39,18686,749
2024-03-21,Paid Search,1561.52,76335,1974
2024-03-21,Email,256.75,10930,959
2024-03-21,Social,1067.90,49544,903
2024-03-21,Marketplace,770.92,55008,2058
2024-03-21,Direct,145.60,7887,352
2024-03-22,Organic Search,326.19,19095,1008
2024-03-22,Paid Search,1463.01,87676,2208
2024-03-22,Email,145.39,7825,491
2024-03-22,Social,970.96,57324,1407
2024-03-22,Marketplace,745.94,52520,2000
2024-03-22,Direct,161.57,9210,543
2024-03-23,Organic Search,396.91,26790,1225
2024-03-23,Paid Search,1517.55,61042,2167
2024-03-23,Email,257.15,18054,1085
2024-03-23,Social,974.61,53299,1082
2024-03-23,Marketplace,763.80,54635,1504
2024-03-23,Direct,144.96,8162,478
2024-03-24,Organic Search,339.72,19491,775
2024-03-24,Paid Search,1554.56,66696,1645
2024-03-24,Email,202.61,9865,669
2024-03-24,Social,1046.43,65100,1638
2024-03-24,Marketplace,780.23,55575,2211
2024-03-24,Direct,92.56,5815,273
2024-03-25,Organic Search,354.45,20718,829
2024-03-25,Paid Search,1479.03,65317,1872
2024-03-25,Email,237.55,9992,629
2024-03-25,Social,1077.15,61953,1787
2024-03-25,Marketplace,836.99,43404,1587
2024-03-25,Direct,126.20,6268,305
2024-03-26,Organic Search,392.98,24382,1141
2024-03-26,Paid Search,1516.13,67127,1878
2024-03-26,Email,301.52,21562,1607
2024-03-26,Social,957.66,60870,1398
2024-03-26,Marketplace,785.81,46055,1743
2024-03-26,Direct,149.95,7600,393
2024-03-27,Organic Search,415.05,23238,1297
2024-03-27,Paid Search,1522.30,59278,1843
2024-03-27,Email,316.66,21285,1380
2024-03-27,Social,1013.27,59894,1465
2024-03-27,Marketplace,808.09,40193,1644
2024-03-27,Direct,203.32,11872,499
2024-03-28,Organic Search,273.57,16965,661
2024-03-28,Paid Search,1498.61,64531,1897
2024-03-28,Email,332.57,13076,903
2024-03-28,Social,875.25,61253,1423
2024-03-28,Marketplace,808.74,38745,1329
2024-03-28,Direct,117.83,6554,361
2024-03-29,Organic Search,401.13,23474,947
2024-03-29,Paid Search,1579.40,110377,3406
2024-03-29,Email,319.87,16384,1086
2024-03-29,Social,964.32,54823,1396
2024-03-29,Marketplace,772.50,35644,1486
2024-03-29,Direct,146.37,7573,365
2024-03-30,Organic Search,295.27,20467,1087
2024-03-30,Paid Search,1515.21,94033,2203
2024-03-30,Email,279.69,15571,1054
2024-03-30,Social,965.12,53978,1227
2024-03-30,Marketplace,745.79,38335,1358
2024-03-30,Direct,105.53,5159,262
2024-03-31,Organic Search,330.09,23140,1044
2024-03-31,Paid Search,1435.36,58564,1919
2024-03-31,Email,289.69,16536,1183
2024-03-31,Social,955.92,68575,1602
2024-03-31,Marketplace,805.24,49733,1503
2024-03-31,Direct,121.47,8526,440
2024-04-01,Organic Search,337.36,23146,1170
2024-04-01,Paid Search,1416.30,89417,2645
2024-04-01,Email,255.13,12322,867
2024-04-01,Social,1029.53,40957,1317
2024-04-01,Marketplace,836.96,52820,1571
2024-04-01,Direct,106.52,5390,277
2024-04-02,Organic Search,327.34,13536,446
2024-04-02,Paid Search,1568.69,97606,2788
2024-04-02,Email,355.15,15992,1176
2024-04-02,Social,980.49,67997,1671
2024-04-02,Marketplace,813.93,56508,2526
2024-04-02,Direct,167.75,11015,574
2024-04-03,Organic Search,421.83,30186,927
2024-04-03,Paid Search,1498.31,99614,2771
2024-04-03,Email,292.67,13570,981
2024-04-03,Social,939.92,49229,964
2024-04-03,Marketplace,713.94,42330,1443
2024-04-03,Direct,160.24,10102,649
2024-04-04,Organic Search,348.57,18174,945
2024-04-04,Paid Search,1446.97,99315,3232
2024-04-04,Email,349.07,20387,1263
2024-04-04,Social,953.77,58813,1343
2024-04-04,Marketplace,732.02,33366,1338
2024-04-04,Direct,119.92,8235,408
2024-04-05,Organic Search,329.71,16198,716
2024-04-05,Paid Search,1510.37,92360,2771
2024-04-05,Email,309.82,17421,1173
2024-04-05,Social,972.61,40546,1167
2024-04-05,Marketplace,856.17,58268,2551
2024-04-05,Direct,188.82,10372,514
2024-04-06,Organic Search,461.55,24897,1405
2024-04-06,Paid Search,1502.71,99667,3259
2024-04-06,Email,299.20,19572,1648
2024-04-06,Social,988.32,52277,1523
2024-04-06,Marketplace,832.65,32802,1404
2024-04-06,Direct,204.53,9086,433
2024-04-07,Organic Search,367.83,21091,1022
2024-04-07,Paid Search,1516.35,106620,3190
2024-04-07,Email,305.45,13690,920
2024-04-07,Social,957.23,41357,936
2024-04-07,Marketplace,790.40,34978,1385
2024-04-07,Direct,156.89,8302,502
2024-04-08,Organic Search,369.85,17144,729
2024-04-08,Paid Search,1420.53,60904,1836
2024-04-08,Email,283.54,17375,1222
2024-04-08,Social,937.72,55355,1493
2024-04-08,Marketplace,844.88,42744,2021
2024-04-08,Direct,147.34,6769,367
2024-04-09,Organic Search,315.48,20716,1007
2024-04-09,Paid Search,1479.30,67505,1966
2024-04-09,Email,287.42,11644,734
2024-04-09,Social,925.70,64674,1273
2024-04-09,Marketplace,771.74,45490,1595
2024-04-09,Direct,63.22,3870,213
2024-04-10,Organic Search,326.40,23367,954
2024-04-10,Paid Search,1379.22,59591,1986
2024-04-10,Email,226.99,9739,673
2024-04-10,Social,965.99,68479,1615
2024-04-10,Marketplace,887.04,44808,1700
2024-04-10,Direct,214.92,9219,493
2024-04-11,Organic Search,289.11,16309,751
2024-04-11,Paid Search,1482.31,98669,3427
2024-04-11,Email,262.65,13741,1198
2024-04-11,Social,920.21,48855,1339
2024-04-11,Marketplace,761.07,37356,1523
2024-04-11,Direct,76.10,3424,198
2024-04-12,Organic Search,363.66,16225,768
2024-04-12,Paid Search,1521.50,89831,2434
2024-04-12,Email,314.19,20100,1300
2024-04-12,Social,929.26,42057,1150
2024-04-12,Marketplace,807.10,48568,1927
2024-04-12,Direct,107.64,6925,437
2024-04-13,Organic Search,347.11,15753,674
2024-04-13,Paid Search,1449.74,74032,2243
2024-04-13,Email,239.91,12729,896
2024-04-13,Social,967.77,58722,1304
2024-04-13,Marketplace,782.30,44711,2032
2024-04-13,Direct,159.50,10300,589
2024-04-14,Organic Search,372.26,20076,986
2024-04-14,Paid Search,1490.11,103804,3067
2024-04-14,Email,225.72,13276,1183
2024-04-14,Social,974.22,59417,1122
2024-04-14,Marketplace,797.23,30529,1102
2024-04-14,Direct,143.61,9619,485
2024-04-15,Organic Search,319.63,14352,782
2024-04-15,Paid Search,1491.58,99314,3286
2024-04-15,Email,203.65,11778,1003
2024-04-15,Social,1006.37,62316,1370
2024-04-15,Marketplace,787.35,44960,1800
2024-04-15,Direct,154.93,8074,402
2024-04-16,Organic Search,295.84,12833,545
2024-04-16,Paid Search,1424.71,101770,3017
2024-04-16,Email,290.81,20702,1115
2024-04-16,Social,968.72,51465,1212
2024-04-16,Marketplace,792.98,40404,1435
2024-04-16,Direct,113.90,4405,240
2024-04-17,Organic Search,325.34,22660,792
2024-04-17,Paid Search,1447.37,98993,2950
2024-04-17,Email,374.66,21457,1441
2024-04-17,Social,1081.83,73716,1410
2024-04-17,Marketplace,813.71,39223,1530
2024-04-17,Direct,113.71,8159,442
2024-04-18,Organic Search,373.67,26415,961
2024-04-18,Paid Search,1440.64,101216,3673
