customer_id,customer_segment,orders,net_revenue,gross_profit,avg_order_value,last_order_date,recency_days,top_category,value_band
C-01670,VIP,52,9120.32,3129.01,175.39,2026-04-18,12,Electronics,Strategic
C-01732,VIP,58,9104.13,2937.24,156.97,2026-04-16,14,Electronics,Strategic
C-01786,VIP,48,9076.46,3215.43,189.09,2026-04-30,0,Home,Strategic
C-00241,VIP,43,9066.40,3275.43,210.85,2026-04-29,1,Home,Strategic
C-00395,VIP,43,9033.85,2814.01,210.09,2026-04-21,9,Electronics,Strategic
C-01274,VIP,42,8999.52,2964.89,214.27,2026-04-21,9,Electronics,Strategic
C-02446,VIP,48,8997.99,2560.54,187.46,2026-04-29,1,Electronics,Strategic
C-00113,VIP,46,8963.88,3158.81,194.87,2026-04-28,2,Electronics,Strategic
C-02299,VIP,50,8958.85,3185.77,179.18,2026-04-26,4,Sports,Strategic
C-02187,VIP,55,8910.43,2654.92,162.01,2026-04-17,13,Electronics,Strategic
C-02210,VIP,53,8900.11,3067.68,167.93,2026-04-15,15,Electronics,Strategic
C-00033,VIP,52,8879.25,2878.84,170.75,2026-04-24,6,Beauty,Strategic
C-01144,VIP,49,8877.87,2765.20,181.18,2026-04-24,6,Electronics,Strategic
C-00070,VIP,51,8872.41,2697.20,173.97,2026-04-22,8,Home,Strategic
C-02686,VIP,51,8857.88,2811.96,173.68,2026-04-05,25,Electronics,Strategic
C-02110,VIP,47,8839.14,2638.87,188.07,2026-04-23,7,Home,Strategic
C-01961,VIP,48,8779.85,2761.20,182.91,2026-04-30,0,Electronics,Strategic
C-02284,VIP,43,8766.89,2670.64,203.88,2026-04-29,1,Home,Strategic
C-01430,VIP,50,8753.40,3040.58,175.07,2026-04-25,5,Electronics,Strategic
C-01436,VIP,53,8713.40,3185.93,164.40,2026-04-27,3,Electronics,Strategic
C-02512,VIP,46,8699.42,2941.72,189.12,2026-04-24,6,Home,Strategic
C-02363,VIP,42,8698.25,2924.07,207.10,2026-03-28,33,Electronics,Strategic
C-01523,VIP,53,8663.56,2777.98,163.46,2026-04-21,9,Electronics,Strategic
C-02448,VIP,49,8648.18,2301.38,176.49,2026-04-30,0,Electronics,Strategic
C-00935,VIP,50,8641.43,2853.12,172.83,2026-04-06,24,Home,Strategic
C-02586,VIP,44,8600.03,2777.16,195.46,2026-04-04,26,Electronics,Strategic
C-02460,VIP,52,8560.21,2752.93,164.62,2026-04-25,5,Beauty,Strategic
C-02461,VIP,47,8556.99,2782.56,182.06,2026-04-13,17,Electronics,Strategic
C-02727,VIP,52,8555.64,2592.91,164.53,2026-04-20,10,Home,Strategic
C-01257,VIP,39,8544.02,2636.91,219.08,2026-04-26,4,Electronics,Strategic
C-00799,VIP,47,8542.20,2507.74,181.75,2026-04-08,22,Sports,Strategic
C-00724,VIP,52,8534.68,3041.51,164.13,2026-04-01,29,Electronics,Strategic
C-02223,VIP,44,8508.76,3067.42,193.38,2026-04-19,11,Electronics,Strategic
C-02209,VIP,59,8473.06,2441.00,143.61,2026-03-18,43,Electronics,Strategic
C-01675,VIP,43,8444.64,2941.57,196.39,2026-04-26,4,Electronics,Strategic
C-01921,VIP,36,8401.16,2924.09,233.37,2026-04-27,3,Electronics,Strategic
C-01891,VIP,50,8395.27,2335.03,167.91,2026-04-28,2,Electronics,Strategic
C-00249,VIP,44,8389.26,2749.87,190.66,2026-04-18,12,Home,Strategic
C-01701,VIP,41,8370.67,2886.56,204.16,2026-03-27,34,Electronics,Strategic
C-02589,VIP,45,8359.33,2734.22,185.76,2026-04-29,1,Electronics,Strategic
C-01038,VIP,46,8339.13,2508.39,181.29,2026-04-17,13,Home,Strategic
C-02624,VIP,45,8297.35,2669.89,184.39,2026-04-23,7,Electronics,Strategic
C-00110,VIP,42,8242.30,2745.84,196.25,2026-04-18,12,Home,Strategic
C-01543,VIP,45,8237.02,2741.66,183.04,2026-04-05,25,Home,Strategic
C-01766,VIP,48,8224.12,2667.15,171.34,2026-04-23,7,Home,Strategic
C-01604,VIP,42,8223.00,2633.43,195.79,2026-04-15,15,Electronics,Strategic
C-01095,New,34,8209.82,2773.76,241.47,2026-04-23,7,Sports,Strategic
C-01323,VIP,54,8207.35,3108.50,151.99,2026-04-27,3,Electronics,Strategic
C-00531,VIP,42,8185.73,2847.92,194.90,2026-04-11,19,Electronics,Strategic
C-00032,New,28,8164.94,2826.41,291.60,2026-03-05,56,Electronics,Strategic
C-02276,VIP,43,8164.75,2593.25,189.88,2026-04-18,12,Electronics,Strategic
C-01646,Returning,32,8162.08,2724.21,255.06,2026-03-31,30,Electronics,Strategic
C-01718,VIP,46,8153.18,3109.16,177.24,2026-04-27,3,Home,Strategic
C-01819,VIP,46,8151.35,2674.90,177.20,2026-04-12,18,Beauty,Strategic
C-01503,VIP,49,8137.48,2884.64,166.07,2026-04-09,21,Electronics,Strategic
C-02152,VIP,56,8134.03,2912.94,145.25,2026-04-29,1,Electronics,Strategic
C-01820,VIP,41,8131.10,2800.78,198.32,2026-04-23,7,Electronics,Strategic
C-00224,Returning,35,8090.38,2553.51,231.15,2026-04-29,1,Electronics,Strategic
C-02647,Returning,27,8072.22,2880.83,298.97,2026-04-26,4,Electronics,Strategic
C-02562,New,27,8069.98,2879.12,298.89,2026-04-23,7,Apparel,Strategic
C-00968,VIP,47,8042.50,2718.33,171.12,2026-03-25,36,Electronics,Strategic
C-01717,VIP,41,8019.05,2566.16,195.59,2026-04-08,22,Home,Strategic
C-00382,VIP,45,7989.79,3024.10,177.55,2026-04-30,0,Apparel,Strategic
C-02529,VIP,49,7981.34,2393.53,162.88,2026-04-10,20,Home,Strategic
C-00842,VIP,46,7944.78,2846.94,172.71,2026-04-24,6,Sports,Strategic
C-01712,VIP,36,7936.45,2682.27,220.46,2026-04-07,23,Electronics,Strategic
C-02704,VIP,47,7927.27,2498.72,168.67,2026-04-30,0,Electronics,Strategic
C-02776,VIP,49,7919.20,2869.24,161.62,2026-04-26,4,Electronics,Strategic
C-01494,VIP,53,7915.32,2191.10,149.35,2026-03-26,35,Electronics,Strategic
C-02684,Returning,32,7909.31,2218.29,247.17,2026-03-30,31,Home,Strategic
C-01022,VIP,42,7906.55,2040.71,188.25,2026-04-10,20,Electronics,Strategic
C-00227,VIP,41,7891.65,2884.74,192.48,2026-04-28,2,Home,Strategic
C-02009,VIP,45,7870.55,2722.27,174.90,2026-04-26,4,Beauty,Strategic
C-02233,VIP,49,7869.14,2052.67,160.59,2026-04-10,20,Electronics,Strategic
C-01850,VIP,52,7868.13,2487.99,151.31,2026-04-17,13,Electronics,Strategic
C-02721,VIP,51,7866.88,2865.94,154.25,2026-04-20,10,Home,Strategic
C-02317,VIP,50,7862.85,2257.91,157.26,2026-04-25,5,Home,Strategic
C-00714,VIP,34,7850.93,2670.26,230.91,2026-04-09,21,Apparel,Strategic
C-01826,VIP,58,7849.87,2062.23,135.34,2026-04-19,11,Home,Strategic
C-00235,VIP,49,7849.58,2323.82,160.20,2026-04-29,1,Electronics,Strategic
C-02355,VIP,48,7835.69,2299.78,163.24,2026-04-22,8,Electronics,Strategic
C-01135,VIP,42,7823.65,2174.08,186.28,2026-04-22,8,Sports,Strategic
C-00350,VIP,47,7797.59,2333.68,165.91,2026-04-15,15,Electronics,Strategic
C-00688,VIP,49,7796.25,1822.85,159.11,2026-03-08,53,Electronics,Strategic
C-01161,VIP,45,7794.15,2476.51,173.20,2026-04-03,27,Home,Strategic
C-01223,Returning,32,7762.91,2712.05,242.59,2026-04-03,27,Home,Strategic
C-02616,VIP,38,7709.21,2891.00,202.87,2026-04-06,24,Home,Strategic
C-02081,VIP,49,7701.66,2617.02,157.18,2026-04-14,16,Electronics,Strategic
C-00404,VIP,45,7684.05,2187.93,170.76,2026-04-27,3,Electronics,Strategic
C-00601,VIP,52,7682.09,2568.13,147.73,2026-04-23,7,Electronics,Strategic
C-01154,VIP,48,7647.03,2582.78,159.31,2026-04-20,10,Electronics,Strategic
C-01083,VIP,45,7646.08,2328.43,169.91,2026-04-23,7,Electronics,Strategic
C-00994,VIP,48,7641.30,2603.13,159.19,2026-04-28,2,Sports,Strategic
C-00803,Returning,34,7554.21,2704.26,222.18,2026-04-29,1,Electronics,Strategic
C-01202,VIP,54,7548.07,2033.78,139.78,2026-04-18,12,Electronics,Strategic
C-01127,VIP,46,7529.33,2423.35,163.68,2026-04-18,12,Home,Strategic
C-00514,New,37,7521.18,2657.01,203.28,2026-04-29,1,Home,Strategic
C-00630,VIP,48,7505.68,2693.71,156.37,2026-04-27,3,Apparel,Strategic
C-01542,VIP,49,7501.08,2355.82,153.08,2026-04-14,16,Electronics,Strategic
C-00744,VIP,39,7499.45,2072.63,192.29,2026-03-06,55,Electronics,Strategic
C-02219,VIP,53,7495.35,2262.28,141.42,2026-04-16,14,Home,Strategic
C-01269,VIP,44,7489.36,2540.19,170.21,2026-04-18,12,Electronics,Strategic
C-01155,New,38,7484.24,2167.09,196.95,2026-03-20,41,Electronics,Strategic
C-00509,VIP,46,7434.75,2485.03,161.62,2026-04-21,9,Electronics,Strategic
C-01998,VIP,48,7413.05,1921.75,154.44,2026-04-16,14,Home,Strategic
C-01750,VIP,54,7408.91,2537.43,137.20,2026-04-13,17,Apparel,Strategic
C-01630,VIP,42,7403.25,2665.59,176.27,2026-04-16,14,Home,Strategic
C-02121,VIP,43,7398.16,2630.21,172.05,2026-04-27,3,Beauty,Strategic
C-02756,VIP,44,7386.76,2651.31,167.88,2026-03-23,38,Electronics,Strategic
C-02083,VIP,38,7331.67,2474.03,192.94,2026-04-22,8,Home,Strategic
C-01986,VIP,45,7328.07,2501.91,162.85,2026-04-14,16,Electronics,Strategic
C-00562,VIP,59,7305.08,1682.43,123.81,2026-04-25,5,Electronics,Strategic
C-01249,VIP,39,7301.43,2420.59,187.22,2026-03-20,41,Electronics,Strategic
C-00257,VIP,50,7297.29,2664.47,145.95,2026-04-25,5,Home,Strategic
C-00666,VIP,47,7294.71,2044.54,155.21,2026-04-13,17,Electronics,Strategic
C-00359,VIP,55,7293.53,2097.84,132.61,2026-04-25,5,Electronics,Strategic
C-02670,New,27,7284.65,2507.24,269.80,2026-04-14,16,Home,Strategic
C-00539,VIP,42,7246.43,2518.78,172.53,2026-04-29,1,Electronics,Strategic
C-00739,VIP,43,7238.10,2501.38,168.33,2026-04-15,15,Beauty,Strategic
C-02490,VIP,46,7226.78,2486.64,157.10,2026-03-28,33,Electronics,Strategic
C-01334,VIP,41,7226.51,2571.64,176.26,2026-04-05,25,Home,Strategic
C-01025,VIP,42,7214.42,2673.86,171.77,2026-04-29,1,Electronics,Strategic
C-02608,Returning,27,7213.03,2517.24,267.15,2026-03-12,49,Home,Strategic
C-01243,VIP,37,7202.63,2542.82,194.67,2026-04-30,0,Apparel,Strategic
C-00753,New,29,7185.04,2401.18,247.76,2026-04-09,21,Electronics,Strategic
C-00754,VIP,49,7178.75,2246.67,146.51,2026-04-29,1,Electronics,Strategic
C-01448,VIP,36,7176.81,2317.81,199.36,2026-04-07,23,Home,Strategic
C-00970,VIP,46,7164.65,2727.70,155.75,2026-04-27,3,Home,Strategic
C-00923,VIP,47,7143.47,1789.86,151.99,2026-04-29,1,Electronics,Strategic
C-00312,Returning,30,7137.51,2597.20,237.92,2026-04-19,11,Electronics,Strategic
C-00946,Returning,31,7133.20,2229.25,230.10,2026-03-27,34,Electronics,Strategic
C-01650,Returning,33,7131.79,2464.28,216.11,2026-04-08,22,Home,Strategic
C-00951,VIP,45,7117.91,2387.48,158.18,2026-04-19,11,Electronics,Strategic
C-02425,VIP,41,7110.44,1805.25,173.43,2026-04-28,2,Electronics,Strategic
C-00661,Returning,30,7106.51,2516.11,236.88,2026-04-11,19,Home,Strategic
C-00677,Returning,26,7087.54,2305.91,272.60,2026-03-18,43,Electronics,Strategic
C-02224,VIP,38,7082.44,2625.52,186.38,2026-04-30,0,Apparel,Strategic
C-00184,VIP,44,7080.40,2524.82,160.92,2026-04-23,7,Home,Strategic
C-02019,VIP,42,7060.76,2218.72,168.11,2026-03-30,31,Electronics,Strategic
C-02497,Returning,33,7027.23,2352.39,212.95,2026-03-13,48,Home,Strategic
C-02249,VIP,39,7017.43,2345.04,179.93,2026-04-25,5,Electronics,Strategic
C-02092,VIP,40,7014.25,2352.69,175.36,2026-04-07,23,Home,Strategic
C-02231,New,30,7002.48,2367.73,233.42,2026-04-01,29,Electronics,Strategic
C-01216,VIP,43,6987.54,2215.49,162.50,2026-04-23,7,Electronics,Strategic
C-01859,VIP,37,6985.08,2131.73,188.79,2026-04-29,1,Home,Strategic
C-01538,Returning,29,6979.78,2268.81,240.68,2026-03-27,34,Home,Strategic
C-02772,New,27,6976.83,2628.90,258.40,2026-04-21,9,Home,Strategic
C-01322,VIP,47,6969.09,2790.58,148.28,2026-04-24,6,Beauty,Strategic
C-00576,VIP,46,6967.48,2123.21,151.47,2026-04-07,23,Electronics,Strategic
C-00219,Returning,41,6966.49,2168.60,169.91,2026-04-16,14,Electronics,Strategic
C-01697,Returning,30,6947.10,1813.89,231.57,2026-04-25,5,Electronics,Strategic
C-01272,VIP,44,6944.24,2144.69,157.82,2026-04-16,14,Electronics,Strategic
C-01499,VIP,44,6942.51,2089.10,157.78,2026-04-21,9,Home,Strategic
C-02361,VIP,46,6934.57,2308.02,150.75,2026-04-22,8,Electronics,Strategic
C-01852,VIP,38,6933.97,2668.42,182.47,2026-03-25,36,Electronics,Strategic
C-01327,VIP,42,6931.26,2492.91,165.03,2026-04-10,20,Home,Strategic
C-01937,VIP,41,6926.92,2188.91,168.95,2026-04-29,1,Home,Strategic
C-00483,VIP,43,6922.15,2185.54,160.98,2026-04-30,0,Electronics,Strategic
C-00991,Returning,30,6911.85,2400.22,230.40,2026-04-07,23,Electronics,Strategic
C-00086,VIP,44,6902.61,2591.18,156.88,2026-04-24,6,Electronics,Strategic
C-00265,VIP,49,6900.24,1774.46,140.82,2026-04-18,12,Electronics,Strategic
C-01206,VIP,55,6885.96,1706.05,125.20,2026-04-14,16,Home,Strategic
C-02414,VIP,45,6879.34,2318.31,152.87,2026-04-23,7,Apparel,Strategic
C-01476,VIP,47,6858.62,2374.91,145.93,2026-04-24,6,Apparel,Strategic
C-01592,Returning,27,6848.31,2406.16,253.64,2026-03-21,40,Beauty,Strategic
C-01627,VIP,43,6834.60,2001.11,158.94,2026-04-15,15,Home,Strategic
C-00352,VIP,44,6830.66,2218.19,155.24,2026-04-27,3,Electronics,Strategic
C-02388,Returning,27,6825.86,2087.70,252.81,2026-04-06,24,Electronics,Strategic
C-00272,VIP,52,6816.85,2349.58,131.09,2026-04-25,5,Beauty,Strategic
C-00394,New,23,6814.80,2174.68,296.30,2026-04-26,4,Electronics,Strategic
C-01300,VIP,39,6812.75,2628.36,174.69,2026-04-30,0,Home,Strategic
C-01982,VIP,44,6806.77,1909.66,154.70,2026-04-27,3,Home,Strategic
C-01175,New,32,6793.79,2175.77,212.31,2026-04-10,20,Electronics,Strategic
C-00126,VIP,49,6773.57,2214.20,138.24,2026-04-28,2,Electronics,Strategic
C-01806,Returning,31,6763.47,2303.12,218.18,2026-04-27,3,Electronics,Strategic
C-00571,VIP,43,6748.24,2062.08,156.94,2026-04-29,1,Home,Strategic
C-01386,VIP,35,6744.80,2279.10,192.71,2026-04-15,15,Electronics,Strategic
C-00029,Returning,23,6743.62,2076.34,293.20,2026-04-04,26,Home,Strategic
C-02615,VIP,38,6739.64,2019.82,177.36,2026-03-25,36,Home,Strategic
C-01271,Returning,35,6726.31,2264.52,192.18,2026-04-14,16,Sports,Strategic
C-01258,VIP,49,6711.61,2021.82,136.97,2026-04-13,17,Electronics,Strategic
C-00383,Returning,30,6709.91,2491.31,223.66,2026-03-12,49,Apparel,Strategic
C-02373,VIP,50,6701.61,2329.68,134.03,2026-04-17,13,Apparel,Strategic
C-01429,New,28,6700.92,1774.69,239.32,2026-03-12,49,Home,Strategic
C-02257,VIP,46,6694.81,2121.21,145.54,2026-04-29,1,Electronics,Strategic
C-00741,New,26,6681.01,2368.03,256.96,2026-04-23,7,Electronics,Strategic
C-00875,New,29,6674.31,1732.68,230.15,2026-04-28,2,Home,Strategic
C-01066,New,27,6638.93,2218.64,245.89,2026-04-02,28,Electronics,Strategic
C-01595,VIP,42,6632.24,2292.39,157.91,2026-04-07,23,Electronics,Strategic
C-00955,Returning,29,6629.30,2134.85,228.60,2026-04-24,6,Home,Strategic
C-00085,VIP,47,6627.37,2094.97,141.01,2026-04-19,11,Electronics,Strategic
C-00186,Returning,24,6620.65,2304.55,275.86,2026-03-30,31,Electronics,Strategic
C-01676,VIP,45,6602.17,1515.11,146.71,2026-04-30,0,Electronics,Strategic
C-01282,VIP,40,6600.96,2607.84,165.02,2026-04-16,14,Sports,Strategic
C-00190,VIP,46,6591.38,1263.48,143.29,2026-04-22,8,Electronics,Strategic
C-02516,Returning,35,6588.50,1957.90,188.24,2026-03-29,32,Electronics,Strategic
C-00036,New,28,6587.29,1996.81,235.26,2026-04-07,23,Electronics,Strategic
C-02584,VIP,46,6578.45,2008.16,143.01,2026-03-25,36,Electronics,Strategic
C-00234,Returning,23,6577.22,2187.62,285.97,2026-04-23,7,Electronics,Strategic
C-02383,VIP,36,6571.67,2016.68,182.55,2026-04-29,1,Sports,Strategic
C-02156,Returning,28,6566.90,2472.64,234.53,2026-04-27,3,Home,Strategic
C-02456,New,29,6563.74,2451.74,226.34,2026-04-28,2,Electronics,Strategic
C-01613,New,40,6552.47,2221.58,163.81,2026-03-05,56,Electronics,Strategic
C-00120,New,37,6535.56,2349.98,176.64,2026-04-25,5,Electronics,Strategic
C-00551,VIP,36,6529.79,2150.42,181.38,2026-04-29,1,Home,Strategic
C-01310,VIP,47,6529.51,2062.97,138.93,2026-04-27,3,Electronics,Strategic
C-02059,VIP,50,6524.72,1606.14,130.49,2026-04-25,5,Electronics,Strategic
C-01065,Returning,32,6520.03,2245.27,203.75,2026-03-11,50,Sports,Strategic
C-01597,VIP,45,6519.97,1677.75,144.89,2026-04-28,2,Electronics,Strategic
C-00569,VIP,39,6519.03,1622.09,167.15,2026-04-29,1,Electronics,Strategic
C-01831,VIP,40,6516.44,1900.30,162.91,2026-04-28,2,Electronics,Strategic
C-02594,Returning,27,6507.53,1802.75,241.02,2026-04-10,20,Electronics,Strategic
C-01284,VIP,43,6496.59,1815.35,151.08,2026-04-19,11,Electronics,Strategic
C-02179,New,26,6490.76,2114.47,249.64,2026-04-26,4,Electronics,Strategic
C-01700,New,36,6485.45,2317.34,180.15,2026-04-23,7,Electronics,Strategic
C-02195,New,36,6479.39,2287.89,179.98,2026-04-27,3,Beauty,Strategic
C-00725,New,32,6468.98,2432.89,202.16,2026-02-07,82,Electronics,Strategic
C-01055,VIP,41,6464.57,2379.38,157.67,2026-04-02,28,Electronics,Strategic
C-00856,VIP,37,6464.22,2065.06,174.71,2026-04-23,7,Electronics,Strategic
C-01219,VIP,35,6462.91,1963.71,184.65,2026-04-30,0,Electronics,Strategic
C-02151,VIP,43,6459.71,2058.69,150.23,2026-04-25,5,Electronics,Strategic
C-00030,VIP,42,6453.87,1966.72,153.66,2026-04-10,20,Sports,Strategic
C-01647,New,25,6449.97,2314.79,258.00,2026-04-13,17,Electronics,Strategic
C-02254,Returning,25,6449.88,2329.89,258.00,2026-03-27,34,Home,Strategic
C-02637,VIP,39,6448.58,2013.06,165.35,2026-04-27,3,Home,Strategic
C-02127,Returning,34,6442.48,2000.21,189.48,2026-04-29,1,Home,Strategic
C-02145,Returning,30,6435.11,2255.37,214.50,2026-03-22,39,Electronics,Strategic
C-02596,VIP,46,6432.72,1426.42,139.84,2026-04-29,1,Home,Strategic
C-02247,New,27,6410.17,2088.94,237.41,2026-04-20,10,Electronics,Strategic
C-01366,Returning,23,6405.64,2180.72,278.51,2026-04-02,28,Electronics,Strategic
C-00236,VIP,42,6405.35,2364.23,152.51,2026-04-30,0,Electronics,Strategic
C-00692,VIP,51,6404.32,2274.98,125.57,2026-04-18,12,Beauty,Strategic
C-01938,Returning,27,6383.88,2393.58,236.44,2026-04-24,6,Electronics,Strategic
C-01658,VIP,36,6377.68,1467.62,177.16,2026-04-30,0,Beauty,Strategic
C-00818,VIP,43,6376.99,1961.50,148.30,2026-04-22,8,Apparel,Strategic
C-00448,New,29,6370.40,2115.66,219.67,2026-04-17,13,Electronics,Strategic
C-02094,VIP,44,6359.79,2672.34,144.54,2026-04-23,7,Home,Strategic
C-01013,VIP,47,6355.02,2150.61,135.21,2026-04-17,13,Electronics,Strategic
C-00246,New,33,6345.93,2055.62,192.30,2026-04-08,22,Electronics,Strategic
C-00610,VIP,44,6336.27,2216.01,144.01,2026-04-21,9,Home,Strategic
C-01578,Returning,29,6330.57,2371.70,218.30,2026-04-21,9,Electronics,Strategic
C-02217,Returning,31,6330.16,2106.10,204.20,2026-04-30,0,Home,Strategic
C-01059,Returning,38,6309.03,1867.67,166.03,2026-04-22,8,Home,Strategic
C-01914,VIP,39,6300.12,1632.99,161.54,2026-04-23,7,Home,Strategic
C-00468,Returning,29,6294.15,1953.61,217.04,2026-04-24,6,Electronics,Strategic
C-00059,VIP,38,6293.64,1648.89,165.62,2026-04-21,9,Home,Strategic
C-01250,VIP,41,6293.39,1889.92,153.50,2026-04-26,4,Electronics,Strategic
C-02590,New,31,6290.63,1989.58,202.92,2026-03-21,40,Sports,Strategic
C-01329,Returning,32,6290.23,2343.50,196.57,2026-03-20,41,Home,Strategic
C-02214,New,27,6285.35,2394.66,232.79,2026-04-20,10,Electronics,Strategic
C-02535,VIP,47,6274.27,1849.26,133.50,2026-04-26,4,Sports,Strategic
C-01031,VIP,37,6270.20,1277.49,169.46,2026-04-04,26,Electronics,Strategic
C-00930,Returning,27,6266.41,2047.69,232.09,2026-03-15,46,Electronics,Strategic
C-00919,New,40,6262.59,1910.61,156.56,2026-04-23,7,Electronics,Strategic
C-01587,VIP,41,6261.86,2150.67,152.73,2026-04-14,16,Beauty,Strategic
C-01500,Returning,32,6256.85,1842.09,195.53,2026-04-25,5,Electronics,Strategic
C-02239,VIP,50,6253.22,1434.83,125.06,2026-04-05,25,Electronics,Strategic
C-02477,Returning,30,6244.31,1877.13,208.14,2026-04-23,7,Electronics,Strategic
C-00083,VIP,54,6243.88,1700.43,115.63,2026-04-11,19,Home,Strategic
C-01337,New,24,6242.25,2328.91,260.09,2026-03-23,38,Electronics,Strategic
C-02551,VIP,43,6230.60,2027.70,144.90,2026-04-27,3,Electronics,Strategic
C-02125,VIP,37,6225.20,1401.05,168.25,2026-04-02,28,Electronics,Strategic
C-00498,VIP,37,6205.68,1683.93,167.72,2026-04-01,29,Electronics,Strategic
C-02409,New,28,6202.92,2104.88,221.53,2026-04-14,16,Electronics,Strategic
C-00486,Returning,22,6174.24,1938.81,280.65,2026-04-23,7,Sports,Strategic
C-00429,VIP,42,6171.82,2049.97,146.95,2026-04-13,17,Electronics,Strategic
C-00024,New,25,6171.19,1882.87,246.85,2026-04-24,6,Sports,Strategic
C-00660,Returning,29,6156.17,2131.90,212.28,2026-04-24,6,Electronics,Strategic
C-02680,VIP,39,6150.94,1674.87,157.72,2026-04-15,15,Electronics,Strategic
C-00191,New,27,6144.17,2103.91,227.56,2026-04-30,0,Electronics,Strategic
C-02674,VIP,39,6141.52,2116.71,157.47,2026-03-28,33,Electronics,Strategic
C-00632,Returning,39,6126.10,1834.70,157.08,2026-04-16,14,Electronics,Strategic
C-01789,VIP,41,6120.43,1821.54,149.28,2026-03-16,45,Home,Strategic
